id;Name;Gender;Produit;Type;Prix;Date
62;Lily Morris;Female;Saucisson de Lyon;Charcuterie;1400;2022-09-02 01:53:00.0000000
63;David Bell;Male;Saucisse de porc;Charcuterie;1600;2022-07-30 01:21:00.0000000
64;Zoe Nelson;Female;Bouteille de Jack Daniel;Liqueur;5000;2022-10-26 10:32:00.0000000
65;Sekou Diop;Male;Pot de crème hydratante Nivea;Hygiène;1500;2022-03-26 14:52:00.0000000
66;Danielle Bailey;Female;Soin contour des lèvres L'Oréal;Produits de soin des lèvres;700;2022-11-23 18:51:00.0000000
67;Sekou Toure;Male;Crème anti-âge L'Oréal;Produits de soin pour le visage;2500;2022-03-13 03:14:00.0000000
68;Natalie Flores;Female;Jambon de Montagne Noire;Charcuterie;2000;2022-05-08 05:46:00.0000000
69;John Parker;Male;Saucisse sèche;Charcuterie;1700;2022-09-03 16:37:00.0000000
70;Abigail Mensah;Female;Soin contour des lèvres L'Oréal;Produits de soin des lèvres;700;2022-01-14 07:05:00.0000000
71;Hazel Miller;Female;Crème réparatrice pour les pieds Scholl;Produits de soin pour les pieds;1500;2022-08-30 23:00:00.0000000
72;Saidi Jalloh;Male;Baume nourrissant pour les mains L'Occitane;Produits de soin pour les mains;1000;2022-01-14 10:08:00.0000000
73;Joseph White;Male;Sachet de thé vert;Thé;500;2022-04-25 14:47:00.0000000
74;Amanda Lopez;Female;Pâté de cerf;Charcuterie;1800;2022-01-30 19:04:00.0000000
75;Osei Bonsu;Male;Gel nettoyant visage purifiant L'Oréal;Produits de soin pour le visage;1800;2022-04-16 18:41:00.0000000
76;Chinwe Ogbonna;Female;Terrine de chevreuil;Charcuterie;1700;2022-11-12 01:07:00.0000000
77;Chinedu Okoro;Male;Pâté de perdreau;Charcuterie;1800;2022-11-08 12:49:00.0000000
78;Alan Diaz;Male;Crème pour les pieds à l'urée Scholl;Produits de soin pour les pieds;1500;2022-10-17 01:44:00.0000000
79;Chinelo Nwachukwu;Female;Shampooing hydratant Timotei;Produits de soin capillaire;1500;2022-03-28 20:08:00.0000000
80;Mohammed Maalouf;Male;Crème solaire peaux sensibles Avène;Produits de protection solaire;2000;2022-08-03 16:57:00.0000000
81;Angela Lopez;Female;Sachet de poivre noir;Condiment;500;2022-04-29 02:14:00.0000000
82;Michelle Howard;Female;Paquet de biscuits Petit Beurre;Biscuits;1000;2022-09-27 21:27:00.0000000
83;Luke Foster;Male;Soin contour des lèvres L'Oréal;Produits de soin des lèvres;700;2022-07-07 07:12:00.0000000
84;Musa Abubakar;Male;Sachet de sel;Condiment;500;2022-04-09 04:29:00.0000000
85;Elijah Perez;Male;Baume nourrissant pour les mains Nuxe;Produits de soin pour les mains;1000;2022-11-03 15:43:00.0000000
86;Julia Richardson;Female;Mortadelle;Charcuterie;1700;2022-06-11 04:03:00.0000000
87;Grace Edwards;Female;Crème raffermissante pour le corps Garnier;Produits de soin pour le corps;2000;2022-05-16 00:52:00.0000000
88;Babatunde Adewale;Male;Gel douche relaxant L'Occitane;Produits de douche;1200;2022-02-23 18:44:00.0000000
89;Kevin King;Male;Terrine de pigeon;Charcuterie;1700;2022-10-09 12:45:00.0000000
90;Karen Harris;Female;Crème solaire visage et corps biodégradable La Roche-Posay;Produits de protection solaire;2000;2022-03-30 20:43:00.0000000
91;Nkosi Dlamini;Male;Boîte de pâte de tomate;Condiment;750;2022-10-04 16:23:00.0000000
92;Kwame Asante;Male;Gel douche exfoliant Nivea;Produits de douche;1200;2022-04-10 21:45:00.0000000
93;Owen Murphy;Male;Terrine de faisan aux morilles;Charcuterie;1700;2022-04-15 12:13:00.0000000
94;Sebastian Wright;Male;Rillettes de thon au citron;Charcuterie;1500;2022-07-22 00:04:00.0000000
95;Gerald Wood;Male;Rillettes d'oie;Charcuterie;1500;2022-12-20 23:24:00.0000000
96;Adama Ba;Female;Soin anti-fatigue pour le visage Nivea;Produits de soin pour le visage;2500;2022-06-25 22:01:00.0000000
97;Christian Adams;Male;Lingettes démaquillantes biodégradables Nivea;Produits de démaquillage;800;2022-07-19 03:21:00.0000000
98;Adama Ba;Female;Jambon de la Forêt de Marly;Charcuterie;2000;2022-08-02 00:55:00.0000000
99;Jonathan Nelson;Male;Saucisse fumée;Charcuterie;1400;2022-01-24 07:03:00.0000000
100;Henry Thompson;Male;Bouteille de jus d'orange Jafpp;Jus;1500;2022-06-04 06:03:00.0000000
101;Wyatt Russell;Male;Crème pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-10-22 23:44:00.0000000
102;William Hernandez;Male;Lingettes démaquillantes Nivea;Produits de démaquillage;800;2022-12-03 18:04:00.0000000
103;Zoe Nelson;Female;Pâté de chevreuil;Charcuterie;1800;2022-04-15 16:56:00.0000000
104;Fatima Keita;Female;Pâté de cerf;Charcuterie;1800;2022-03-06 08:08:00.0000000
105;Betty King;Female;Paquet de biscuits au chocolat;Biscuits;1000;2022-04-26 16:49:00.0000000
106;Donna Mitchell;Female;Saucisson à l'Espelette;Charcuterie;1400;2022-01-22 20:47:00.0000000
107;Steven James;Male;Pâté de canard;Charcuterie;1500;2022-10-30 13:10:00.0000000
108;Fatima Nkrumah;Female;Pot de confiture de fraises;Condiment;1000;2022-04-20 23:39:00.0000000
109;Nabila Bah;Female;Saucisson de Lyon;Charcuterie;1400;2022-06-09 03:17:00.0000000
110;Kwame Asante;Male;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2022-07-13 00:45:00.0000000
111;Aisha Kamau;Female;Rillettes de thon au citron;Charcuterie;1500;2022-09-24 22:45:00.0000000
112;Ngozi Nwadike;Female;Paquet de popcorn sucré;Snack;750;2022-01-07 05:18:00.0000000
113;Grace Hughes;Female;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2022-04-02 04:13:00.0000000
114;Mohammed Maalouf;Male;Saucisson à la pistache;Charcuterie;1800;2022-06-12 10:47:00.0000000
115;Victoria Young;Female;Saucisson à l'anis;Charcuterie;1400;2022-06-01 21:03:00.0000000
116;Nabila Cissé;Female;Sachet de grains de café arabica;Café;1000;2022-10-12 13:39:00.0000000
117;Matthew Evans;Male;Jambon cru;Charcuterie;1700;2022-03-03 13:03:00.0000000
118;Obinna Onyeama;Male;Dentifrice reminéralisant Elmex;Produits d'hygiène dentaire;500;2022-06-26 14:32:00.0000000
119;Saidou Bah;Male;Saucisse de dinde;Charcuterie;1600;2022-07-02 08:54:00.0000000
120;Aminata Touré;Female;Dentifrice bio blanchissant Lavera;Produits d'hygiène dentaire;500;2022-09-29 22:28:00.0000000
121;Julia Richardson;Female;Saucisson aux herbes;Charcuterie;1400;2022-01-31 14:26:00.0000000
122;Anna Mitchell;Female;Bouteille de bière Guinness;Bière;1000;2022-04-30 22:52:00.0000000
123;Monica Perez;Female;Terrine de chevreuil;Charcuterie;1700;2022-09-27 19:01:00.0000000
124;Musa Abubakar;Male;Démaquillant yeux bi-phasé waterproof L'Oréal;Produits de démaquillage;1200;2022-02-25 10:48:00.0000000
125;Emeka Diop;Male;Lotion purifiante pour le visage Neutrogena;Produits de soin pour le visage;1200;2022-04-26 07:20:00.0000000
126;John Enrick;Male;Saucisson à la pistache;Charcuterie;1400;2022-03-03 22:58:00.0000000
127;Lindsay Young;Female;Gel douche hydratant à la grenade Neutrogena;Produits de douche;1200;2022-04-13 20:03:00.0000000
128;Leah Adams;Female;Jambon de la Forêt Noire;Charcuterie;2000;2022-09-13 12:30:00.0000000
129;Osei Bonsu;Male;Boîte de maïs en conserve;Condiment;750;2022-11-05 00:14:00.0000000
130;Lindsay Young;Female;Démaquillant bi-phasé waterproof Nivea;Produits de démaquillage;1200;2022-04-14 08:26:00.0000000
131;Sanaa Oumar;Female;Lait hydratant pour le corps Johnson's;Produits de soin pour le corps;1000;2022-11-11 05:41:00.0000000
132;Brenda Sanchez;Female;Lait hydratant pour le corps Johnson's;Produits de soin pour le corps;1000;2022-11-10 09:51:00.0000000
133;Bella Hernandez;Female;Saucisson à la pistache;Charcuterie;1800;2022-04-28 19:59:00.0000000
134;Trinity Harris;Female;Lingettes démaquillantes biodégradables Nivea;Produits de démaquillage;800;2022-01-02 02:56:00.0000000
135;Phillip Reed;Male;Terrine de sanglier;Charcuterie;1700;2022-12-05 01:09:00.0000000
136;Binta Sow;Female;Lotion hydratante pour le visage Nivea;Produits de soin pour le visage;1200;2022-12-03 09:00:00.0000000
137;Kwame Mensah;Male;Jambon d'Auvergne;Charcuterie;2000;2022-07-14 08:05:00.0000000
138;Aisha Ibrahim;Female;Andouille;Charcuterie;1600;2022-12-14 10:01:00.0000000
139;Danielle Bailey;Female;Déodorant spray sans gaz propulseur Nivea;Produits d'hygiène;800;2022-02-28 17:08:00.0000000
140;Ayodele Akinwande;Female;Boîte de mouchoirs en papier Lotus;Hygiène;1000;2022-02-01 09:33:00.0000000
141;Joshua Allen;Male;Terrine de canard;Charcuterie;1700;2022-04-27 18:09:00.0000000
142;Frances Coleman;Female;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2022-08-22 00:19:00.0000000
143;Jimmy Perry;Male;Boudin noir;Charcuterie;1500;2022-10-23 18:52:00.0000000
144;Tunde Ogunjobi;Male;Pain de mie Jacques;Alimentation;750;2022-03-22 09:47:00.0000000
145;Lamidi Adekunle;Male;Jambon de Paris;Charcuterie;1400;2022-01-12 17:04:00.0000000
146;Mohammed Maalouf;Male;Dentifrice reminéralisant Elmex;Produits d'hygiène dentaire;500;2022-10-21 10:36:00.0000000
147;Chinelo Nwachukwu;Female;Jambon de Parme;Charcuterie;2000;2022-10-23 20:23:00.0000000
148;Cody Davis;Male;Crème apaisante après-soleil Nivea;Produits de protection solaire;2000;2022-08-17 05:24:00.0000000
149;Mila King;Female;Gel coiffant effet mat Axe;Produits de coiffure;1500;2022-09-27 20:44:00.0000000
150;Sibongile Zulu;Female;Dentifrice Signal;Produits d'hygiène dentaire;500;2022-12-13 06:36:00.0000000
151;Fatoumata Diagne;Female;Déodorant anti-transpirant Vichy;Produits d'hygiène;800;2022-04-10 10:18:00.0000000
152;Christian Adams;Male;Mortadelle;Charcuterie;1700;2022-12-11 23:51:00.0000000
153;Lisa Rodriguez;Female;Lingettes démaquillantes biodégradables à l'huile d'amande Neutrogena;Produits de démaquillage;800;2022-03-09 02:09:00.0000000
154;Joseph Richardson;Male;Gel nettoyant visage La Roche-Posay;Produits de soin pour le visage;1800;2022-02-09 06:52:00.0000000
155;Kwame Mensah;Male;Bouteille de shampoing Head & Shoulders;Hygiène;1500;2022-05-03 14:57:00.0000000
156;Chloe Richardson;Female;Jambon de Vendée;Charcuterie;1500;2022-01-11 11:11:00.0000000
157;Scott Clark;Male;Déodorant sans aluminium Nivea;Produits d'hygiène;800;2022-01-06 12:51:00.0000000
158;Ngozi Eze;Female;Gel douche Nivea;Produits de douche;1200;2022-08-14 00:53:00.0000000
159;William Moore;Male;Terrine de faisan aux raisins;Charcuterie;1700;2022-06-16 17:38:00.0000000
160;Edward Nelson;Male;Saucisse de Toulouse;Charcuterie;1600;2022-12-31 12:34:00.0000000
161;Patrick Reed;Male;Crème de jour anti-rides Nivea;Produits de soin pour le visage;1200;2022-11-18 01:43:00.0000000
162;Jelani Jalloh;Male;Paquet de chips Pringles;Snack;1000;2022-01-16 21:01:00.0000000
163;Hazel Miller;Female;Gel coiffant effet mouillé Schwarzkopf;Produits de coiffure;1500;2022-05-08 18:40:00.0000000
164;Saidou Bah;Male;Lingettes démaquillantes biodégradables Nivea;Produits de démaquillage;800;2022-07-20 11:45:00.0000000
165;Nicole Reed;Female;Saucisse au poivre;Charcuterie;1600;2022-09-03 19:50:00.0000000
166;Alyssa Morris;Female;Rillettes de thon;Charcuterie;1500;2022-12-31 05:03:00.0000000
167;Dorothy Adams;Female;Baume après-rasage sans alcool Nivea;Produits de rasage;700;2022-05-23 14:42:00.0000000
168;Dorothy Adams;Female;Paquet de café Nescafé;Café;1500;2022-07-04 18:01:00.0000000
169;Billy Coleman;Male;Déodorant roll-on sans alcool Nivea;Produits d'hygiène;800;2022-01-14 10:21:00.0000000
170;Steven Collins;Male;Rillettes de saumon;Charcuterie;1500;2022-11-12 16:05:00.0000000
171;Ayodele Akinwande;Female;Dentifrice protection caries Sensodyne;Produits d'hygiène dentaire;500;2022-03-25 02:51:00.0000000
172;Uzoma Okoro;Male;Jambon de l'Ardèche;Charcuterie;2000;2022-09-17 11:25:00.0000000
173;Chukwudi Eze;Male;Lingettes démaquillantes apaisantes Nivea;Produits de démaquillage;800;2022-10-16 06:45:00.0000000
174;Nadira Touré;Female;Paquet de biscottes;Biscuits;750;2022-12-24 18:22:00.0000000
175;Idris Bello;Male;Baume à lèvres Labello;Produits de soin des lèvres;700;2022-02-28 02:36:00.0000000
176;Charles Parker;Male;Pâté de marcassin;Charcuterie;1900;2022-12-24 05:23:00.0000000
177;Mohammed Maalouf;Male;Paquet de riz complet;Alimentation;1500;2022-12-11 01:13:00.0000000
178;Caroline Bailey;Female;Sachet de feuilles de thé;Thé;500;2022-05-04 14:24:00.0000000
179;Aminata Cissé;Female;Jambon de la Forêt Noire;Charcuterie;2000;2022-04-04 07:43:00.0000000
180;Tunde Adeleke;Male;Crème pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-03-03 23:10:00.0000000
181;Brenda Sanchez;Female;Déodorant Rexona;Produits d'hygiène;800;2022-04-19 03:11:00.0000000
182;Brittany Price;Female;Dentifrice bio blanchissant Lavera;Produits d'hygiène dentaire;500;2022-07-14 01:41:00.0000000
183;Chloe Richardson;Female;Déodorant sans aluminium Nivea;Produits d'hygiène;800;2022-07-13 01:44:00.0000000
184;Sekou Diop;Male;Lotion pour le corps Dove;Produits de soin pour le corps;1200;2022-03-02 06:29:00.0000000
185;Frances Coleman;Female;Jambon de l'Ardèche;Charcuterie;2000;2022-03-26 09:55:00.0000000
186;Ashley Garcia;Female;Crème solaire enfant biodégradable Uriage;Produits de protection solaire;2000;2022-10-25 10:58:00.0000000
187;Hannah Washington;Female;Bouteille de sauce tomate;Condiment;500;2022-08-21 09:04:00.0000000
188;Kwadwo Mensah;Male;Soin liftant anti-âge L'Oréal;Produits de soin pour le visage;2500;2022-01-25 17:53:00.0000000
189;Femi Adekunle;Male;Sachet de grains de café arabica;Café;1000;2022-03-05 12:25:00.0000000
190;Kevin Rivera;Male;Masque purifiant à l'argile L'Oréal;Produits de soin pour le visage;1800;2022-11-23 23:58:00.0000000
191;Ava Martinez;Female;Crème solaire Nivea;Produits de protection solaire;2000;2022-12-18 03:40:00.0000000
192;Philip Robinson;Male;Rillettes de canard;Charcuterie;1400;2022-06-23 19:20:00.0000000
193;Adrian Green;Male;Crème réparatrice Cicabiafine;Produits de soin pour le corps;1500;2022-01-27 18:25:00.0000000
194;Russell Gonzalez;Male;Sachet de popcorn;Snack;500;2022-12-07 12:53:00.0000000
195;Sanaa Oumar;Female;Chorizo;Charcuterie;2000;2022-01-21 20:53:00.0000000
196;Nancy Wright;Female;Shampooing anti-chute Vichy;Produits de soin capillaire;1800;2022-07-31 09:08:00.0000000
197;Fatima Nkrumah;Female;Bouteille de bière Guinness;Bière;1000;2022-04-30 22:53:00.0000000
198;Brian Brooks;Male;Bouteille de sauce tomate;Condiment;500;2022-12-27 04:18:00.0000000
199;Ngozi Nwadike;Female;Saucisse de Strasbourg;Charcuterie;1600;2022-02-15 05:14:00.0000000
200;Ronald Scott;Male;Boîte de conserve de thon Petit Navire;Poisson;1000;2022-05-27 21:12:00.0000000
201;Kwasi Amoako;Male;Paquet de cacahuètes;Snack;750;2022-05-07 10:23:00.0000000
202;Chinelo Nwachukwu;Female;Rillettes de canard;Charcuterie;1400;2022-05-09 12:28:00.0000000
203;Yaa Asante;Female;Saucisson à l'Espelette;Charcuterie;1400;2022-03-31 20:02:00.0000000
204;Jeremy Evans;Male;Pot de yaourt Danone;Produits laitiers;750;2022-09-28 08:00:00.0000000
205;Adiza Sow;Female;Saucisse de Toulouse;Charcuterie;1600;2022-06-27 20:32:00.0000000
206;Christine Young;Female;Crème de nuit nourrissante Nivea;Produits de soin pour le visage;1200;2022-03-21 06:52:00.0000000
207;Mark Green;Male;Paquet de café Nescafé;Café;1500;2022-01-22 07:02:00.0000000
208;Scarlett Price;Female;Coppa;Charcuterie;1600;2022-12-14 11:11:00.0000000
209;Femi Adekunle;Male;Gel douche hydratant à la grenade Neutrogena;Produits de douche;1200;2022-09-22 08:58:00.0000000
210;Joseph Richardson;Male;Bouteille de bière Guinness;Bière;1000;2022-01-25 23:31:00.0000000
211;Emeka Nnamdi;Male;Terrine de canard;Charcuterie;1700;2022-12-30 23:32:00.0000000
212;Ryan Cox;Male;Barre de chocolat Milka;Chocolat;750;2022-09-14 13:33:00.0000000
213;Timothy Bennett;Male;Boîte de mouchoirs en papier Lotus;Hygiène;1000;2022-03-17 21:40:00.0000000
214;Brandon Green;Male;Pâté de foie;Charcuterie;1100;2022-11-14 04:18:00.0000000
215;Miranda Allen;Female;Shampooing hydratant Timotei;Produits de soin capillaire;1500;2022-10-31 02:53:00.0000000
216;Andrew Turner;Male;Démaquillant bi-phasé Maybelline;Produits de démaquillage;1200;2022-03-07 17:01:00.0000000
217;Melissa Bailey;Female;Gel douche exfoliant au sel marin Neutrogena;Produits de douche;1200;2022-09-15 06:33:00.0000000
218;Cassandra Coleman;Female;Sachet de thé vert;Thé;500;2022-07-08 23:38:00.0000000
219;Trinity Harris;Female;Dentifrice blancheur Oral-B;Produits d'hygiène dentaire;500;2022-08-01 16:39:00.0000000
220;William Hernandez;Male;Spray corporel Axe;Produits de soin pour le corps;800;2022-01-01 10:03:00.0000000
221;Lindsay Young;Female;Terrine de campagne;Charcuterie;1900;2022-02-05 05:06:00.0000000
222;Kwadwo Mensah;Male;Boîte de maïs en conserve;Condiment;750;2022-08-29 21:47:00.0000000
223;John Jackson;Male;Rillettes de volaille;Charcuterie;1500;2022-04-16 05:50:00.0000000
224;Alex Johnson;Male;Bouteille de vin rouge Merlot;Vin;2500;2022-01-24 12:52:00.0000000
225;Richard Martin;Male;Déodorant Rexona;Produits d'hygiène;800;2022-01-10 00:32:00.0000000
226;Owen Murphy;Male;Rillettes de lapin;Charcuterie;1300;2022-08-15 13:04:00.0000000
227;Kwaku Amponsah;Male;Saucisson à l'anis;Charcuterie;1400;2022-10-20 12:31:00.0000000
228;Jelani Jalloh;Male;Dentifrice bio Logodent;Produits d'hygiène dentaire;500;2022-04-25 03:37:00.0000000
229;Lamidi Adekunle;Male;Rillettes de dinde;Charcuterie;1300;2022-03-14 10:34:00.0000000
230;Victoria Young;Female;Déodorant spray sans gaz propulseur Nivea;Produits d'hygiène;800;2022-01-29 16:16:00.0000000
231;Charles Parker;Male;Crème de jour hydratante Nivea;Produits de soin pour le visage;1200;2022-08-28 14:09:00.0000000
232;Jacob Rivera;Male;Sachet de thé à la menthe;Thé;500;2022-10-09 01:49:00.0000000
233;Wyatt Russell;Male;Jambon de Paris;Charcuterie;1400;2022-06-27 03:28:00.0000000
234;Carter Richardson;Male;Pâté de lapin aux noix;Charcuterie;1800;2022-06-16 14:29:00.0000000
235;Nneka Eze;Female;Sachet de sucre roux;Sucrerie;500;2022-03-18 17:57:00.0000000
236;Chukwudi Eze;Male;Jambon d'Auvergne;Charcuterie;2000;2022-05-12 05:06:00.0000000
237;Sibongile Zulu;Female;Soin hydratant matifiant Vichy;Produits de soin pour le visage;2500;2022-10-19 13:57:00.0000000
238;Tunde Adeleke;Male;Rillettes de thon;Charcuterie;1500;2022-05-30 08:11:00.0000000
239;Nicholas Powell;Male;Saucisson aux noisettes;Charcuterie;1400;2022-11-21 18:26:00.0000000
240;Joseph White;Male;Sachet de sucre roux;Sucrerie;500;2022-07-25 12:20:00.0000000
241;Adjoa Boateng;Female;Saucisson aux noisettes;Charcuterie;1400;2022-02-08 09:40:00.0000000
242;Kwesi Anang;Male;Rillettes de saumon;Charcuterie;1500;2022-04-05 14:33:00.0000000
243;Nneka Eze;Female;Barre de chocolat Milka;Chocolat;750;2022-09-09 11:34:00.0000000
244;Olivia Smith;Female;Sachet de thé à la menthe;Thé;500;2022-10-07 05:45:00.0000000
245;Robert Miller;Male;Démaquillant pour les yeux bi-phasé Nivea;Produits de démaquillage;1200;2022-07-16 18:17:00.0000000
246;Lisa Rodriguez;Female;Paquet de chips Pringles;Snack;1000;2022-09-29 07:12:00.0000000
247;Willie Price;Male;Saucisse de Morteau;Charcuterie;1600;2022-08-02 23:27:00.0000000
248;Caitlin Cox;Female;Crème pour les pieds Scholl;Produits de soin pour les pieds;1500;2022-04-13 23:11:00.0000000
249;Richard Martin;Male;Baume nourrissant pour les mains L'Occitane;Produits de soin pour les mains;1000;2022-05-12 23:03:00.0000000
250;Jumaane Diop;Male;Lingettes démaquillantes réutilisables Garnier;Produits de démaquillage;800;2022-12-18 18:18:00.0000000
251;Fanta Bah;Female;Jambon des Ardennes;Charcuterie;2000;2022-07-05 06:27:00.0000000
252;Juan Diaz;Male;Sachet de sel iodé;Condiment;500;2022-07-17 18:15:00.0000000
253;Kwabena Osei;Male;Baume après-rasage Gillette;Produits de rasage;700;2022-01-07 14:20:00.0000000
